[0.7184 0.6616 0.5704 0.4773 0.3581 0.2429 0.1457]
epoch=  246  step= 3200  Loss=0.9184  cls_acc=91.90  best_map=46.00
[0.7124 0.6557 0.5652 0.4761 0.3608 0.2424 0.1517]
epoch=  249  step= 3250  Loss=0.9033  cls_acc=90.00  best_map=46.00
[0.7156 0.6614 0.5703 0.4775 0.3617 0.2406 0.1466]
epoch=  253  step= 3300  Loss=0.8977  cls_acc=89.52  best_map=46.00
[0.7195 0.6644 0.5724 0.4802 0.3617 0.2417 0.1439]
epoch=  257  step= 3350  Loss=0.8875  cls_acc=90.48  best_map=46.00
[0.7254 0.6668 0.5776 0.4840 0.3617 0.2424 0.1455]
epoch=  261  step= 3400  Loss=0.8779  cls_acc=91.90  best_map=46.00
[0.7220 0.6656 0.5725 0.4826 0.3600 0.2437 0.1466]
epoch=  265  step= 3450  Loss=0.8633  cls_acc=89.52  best_map=46.00
[0.7244 0.6663 0.5761 0.4838 0.3675 0.2450 0.1462]
epoch=  269  step= 3500  Loss=0.8775  cls_acc=91.43  best_map=46.00
[0.7241 0.6661 0.5718 0.4774 0.3607 0.2416 0.1451]
epoch=  273  step= 3550  Loss=0.8462  cls_acc=90.95  best_map=46.00
[0.7299 0.6735 0.5791 0.4833 0.3667 0.2468 0.1496]
epoch=  276  step= 3600  Loss=0.8405  cls_acc=91.90  best_map=46.13
[0.7234 0.6675 0.5755 0.4822 0.3610 0.2451 0.1468]
epoch=  280  step= 3650  Loss=0.8402  cls_acc=90.95  best_map=46.13
[0.7191 0.6640 0.5712 0.4798 0.3565 0.2448 0.1472]
epoch=  284  step= 3700  Loss=0.8194  cls_acc=90.48  best_map=46.13
[0.7229 0.6656 0.5733 0.4813 0.3604 0.2455 0.1427]
epoch=  288  step= 3750  Loss=0.8159  cls_acc=90.95  best_map=46.13
[0.7235 0.6668 0.5773 0.4813 0.3593 0.2431 0.1471]
epoch=  292  step= 3800  Loss=0.8076  cls_acc=90.48  best_map=46.13
[0.7164 0.6611 0.5692 0.4745 0.3536 0.2378 0.1411]
epoch=  296  step= 3850  Loss=0.8021  cls_acc=91.90  best_map=46.13
[0.7160 0.6604 0.5653 0.4716 0.3535 0.2370 0.1400]
epoch=  299  step= 3900  Loss=0.7896  cls_acc=90.95  best_map=46.13
[0.7273 0.6698 0.5755 0.4799 0.3683 0.2425 0.1467]
epoch=  303  step= 3950  Loss=0.7846  cls_acc=92.38  best_map=46.13
[0.7239 0.6694 0.5759 0.4813 0.3623 0.2456 0.1473]
epoch=  307  step= 4000  Loss=0.7783  cls_acc=91.43  best_map=46.13
[0.7225 0.6677 0.5726 0.4762 0.3542 0.2469 0.1469]
epoch=  311  step= 4050  Loss=0.7747  cls_acc=90.48  best_map=46.13
[0.7037 0.6497 0.5606 0.4653 0.3514 0.2353 0.1409]
epoch=  315  step= 4100  Loss=0.7625  cls_acc=89.52  best_map=46.13
