[0.7094 0.6543 0.5641 0.4750 0.3552 0.2391 0.1405]
epoch=  223  step= 2900  Loss=0.7148  cls_acc=90.95  best_map=44.99
[0.7015 0.6477 0.5601 0.4717 0.3503 0.2417 0.1442]
epoch=  226  step= 2950  Loss=0.7095  cls_acc=90.95  best_map=44.99
[0.7062 0.6490 0.5599 0.4715 0.3559 0.2421 0.1441]
epoch=  230  step= 3000  Loss=0.7005  cls_acc=90.48  best_map=44.99
[0.7048 0.6510 0.5637 0.4710 0.3490 0.2403 0.1439]
epoch=  234  step= 3050  Loss=0.7104  cls_acc=89.52  best_map=44.99
[0.6859 0.6318 0.5472 0.4589 0.3398 0.2356 0.1392]
epoch=  238  step= 3100  Loss=0.6931  cls_acc=87.62  best_map=44.99
[0.6994 0.6460 0.5569 0.4695 0.3505 0.2387 0.1407]
epoch=  242  step= 3150  Loss=0.6842  cls_acc=90.00  best_map=44.99
[0.7036 0.6481 0.5592 0.4684 0.3505 0.2425 0.1421]
epoch=  246  step= 3200  Loss=0.6810  cls_acc=91.43  best_map=44.99
[0.7021 0.6444 0.5527 0.4629 0.3439 0.2355 0.1414]
epoch=  249  step= 3250  Loss=0.6779  cls_acc=89.05  best_map=44.99
[0.7115 0.6544 0.5620 0.4742 0.3485 0.2398 0.1419]
epoch=  253  step= 3300  Loss=0.6686  cls_acc=90.00  best_map=44.99
[0.6987 0.6423 0.5542 0.4666 0.3479 0.2391 0.1426]
epoch=  257  step= 3350  Loss=0.6608  cls_acc=89.52  best_map=44.99
[0.7068 0.6511 0.5605 0.4684 0.3499 0.2412 0.1423]
epoch=  261  step= 3400  Loss=0.6535  cls_acc=91.43  best_map=44.99
[0.7085 0.6522 0.5574 0.4680 0.3509 0.2380 0.1412]
epoch=  265  step= 3450  Loss=0.6492  cls_acc=87.62  best_map=44.99
[0.7152 0.6601 0.5686 0.4745 0.3552 0.2399 0.1453]
epoch=  269  step= 3500  Loss=0.6731  cls_acc=90.00  best_map=45.13
[0.7183 0.6614 0.5673 0.4730 0.3509 0.2418 0.1473]
epoch=  273  step= 3550  Loss=0.6329  cls_acc=91.43  best_map=45.14
[0.7130 0.6548 0.5642 0.4734 0.3528 0.2447 0.1447]
epoch=  276  step= 3600  Loss=0.6427  cls_acc=90.48  best_map=45.14
[0.6902 0.6337 0.5443 0.4556 0.3425 0.2396 0.1398]
epoch=  280  step= 3650  Loss=0.6396  cls_acc=87.62  best_map=45.14
[0.6935 0.6379 0.5491 0.4585 0.3406 0.2353 0.1383]
epoch=  284  step= 3700  Loss=0.6284  cls_acc=87.62  best_map=45.14
[0.7117 0.6532 0.5662 0.4735 0.3485 0.2418 0.1428]
epoch=  288  step= 3750  Loss=0.6249  cls_acc=90.00  best_map=45.14
[0.7045 0.6464 0.5572 0.4654 0.3461 0.2415 0.1434]
epoch=  292  step= 3800  Loss=0.6183  cls_acc=88.57  best_map=45.14
[0.6954 0.6361 0.5488 0.4610 0.3417 0.2324 0.1346]
